Size,Inner Dimension,Outer Dimension,Width,Dynamic(Cr),Static(Cor),Weight(lb)
6000,10,26,8,1030,445,0.042
6001,12,28,8,1147,535,0.048
6002,15,32,9,1254,641,0.068
6003,17,35,10,1349,731,0.088
6004,20,42,12,2109,1129,0.150
6005,25,47,12,2248,1315,0.172
6006,30,55,13,2967,1866,0.242
6007,35,62,14,3642,2360,0.326
6008,40,68,15,3867,2653,0.407
6009,45,75,16,4721,3327,0.506
6010,50,80,16,4946,3642,0.568
6011,55,90,18,6789,4901,0.796
6012,60,95,18,7081,5440,0.847
6013,65,100,18,6857,5665,0.957
6014,70,110,20,8565,6947,1.324
6015,75,115,20,8902,7531,1.404
6016,80,125,22,10701,8947,1.870
6017,85,130,22,11128,9689,1.958
6018,90,140,24,13084,11173,2.552
6019,95,145,24,13578,12117,2.662
6020,100,150,24,13533,12185,2.750
6021,105,160,26,16254,14792,3.498
6022,110,170,28,18434,16411,4.312
6024,120,180,28,18659,17535,4.796
6026,130,200,33,23380,22481,7.326
6028,140,210,33,24279,24279,7.832
6030,150,225,35,27427,28101,9.636
