Size,Inner Dimension,Outer Dimension,Width,Dynamic(Cr),Static(Cor),Weight(lb)
6300,10,35,11,1720,782,0.12
6301,12,37,12,2185,1142,0.13
6302,15,42,13,2585,1218,0.18
6303,17,47,14,3035,1479,0.24
6304,20,52,15,3552,1771,0.31
6305,25,62,17,4991,2585,0.48
6306,30,72,19,6070,3417,0.77
6307,35,80,21,7464,4316,1.00
6308,40,90,23,9172,5395,1.41
6309,45,100,25,11870,7149,1.92
6310,50,110,27,13938,8610,2.35
6311,55,120,29,16096,10116,3.01
6312,60,130,31,18412,11735,3.74
6313,65,140,33,20840,13466,4.58
6314,70,150,35,23380,15322,5.54
6315,75,160,37,25403,17355,6.64
6316,80,170,39,27651,19491,7.90
6317,85,180,41,29899,21761,9.31
6318,90,190,43,32148,24054,10.80
6319,95,200,45,34396,26752,12.47
6320,100,215,47,38892,31698,15.40
6321,105,225,49,41365,34396,17.71
6322,110,240,50,46086,40465,20.99
6324,120,260,55,47659,42714,28.16
6326,130,280,58,51256,48559,40.26
6328,140,300,62,57326,55078,49.06
6330,150,320,65,64070,67442,58.74
