Size,Inner Dimension,Outer Dimension,Width OPEN,Width ZZ/2RS,Dynamic(Cr),Static(Cor),Weight(lb)
603,3,9,3,5,128.15,35.97,0.00198
604,4,12,4,4,218.06,80.93,0.00462
605,5,14,5,5,292.25,110.16,0.0077
606,6,17,6,6,508.07,166.36,0.01276
607,7,19,6,6,526.05,200.08,0.01672
608,8,22,7,7,7410.87,303.49,0.0264
609,9,24,7,7,764.35,325.97,0.0352
623,3,10,4,4,143.88,49.46,0.0044
624,4,13,5,5,294.50,110.16,0.0066
625,5,16,5,5,395.66,152.87,0.0088
626,6,19,6,6,526.05,198.96,0.0176
627,7,22,7,7,753.11,314.73,0.0308
628,8,24,8,8,899.23,357.44,0.0352
629,9,26,8,8,1022.88,438.38,0.0418
633,3,13,5,5,292.55,110.16,0.0066
634,4,16,5,5,395.66,152.87,0.011
635,5,19,6,6,526.05,198.96,0.0176
636,6,22,7,7,741.87,303.49,0.0286
637,7,26,9,9,910.47,364.19,0.0528
638,8,28,9,9,1022.88,438.38,0.0638
639,9,30,10,10,1146.52,537.29,0.077
673,3,6,2,2.5,54.40,21.13,0.00044
674,4,7,2,2.5,60.47,38.22,0.000616
675,5,8,2,2.5,65.64,31.92,0.000704
676,6,10,2.5,3,119.15,53.95,0.00143
677,7,11,2.5,3,124.77,60.47,0.001474
678,8,12,2.5,3.5,129.26,66.99,0.00165
683,3,7,2,3,81.52,26.44,0.000726
684,4,9,2.5,4,136.59,48.47,0.001386
685,5,11,3,5,138.80,57.28,0.00242
686,6,13,3.5,5,231.33,88.12,0.00418
687,7,14,3.5,5,251.16,114.65,0.00462
688,8,16,4,5,283.26,132.64,0.00682
689,9,17,4,5,298.99,149.50,0.00704
693,3,8,3,4,125.89,42.71,0.001342
694,4,11,4,4,215.82,76.43,0.00374
695,5,13,4,4,296.75,110.16,0.00528
696,6,15,5,5,393.41,150.62,0.00858
697,7,17,5,5,359.69,159.61,0.01166
698,8,19,6,6,386.67,188.84,0.01584
699,9,20,6,6,550.78,236.05,0.0187
