Size,Inner Dimension,Outer Dimension,Width,Dynamic(Cr),Static(Cor),Weight(lb)
6200,10,30,9,1147,535,0.070
6201,12,32,10,1533,686,0.077
6202,15,35,11,1720,836,0.099
6203,17,40,12,2154,1075,0.141
6204,20,47,14,2878,1495,0.227
6205,25,52,15,3147,1771,0.279
6206,30,62,16,4384,2585,0.440
6207,35,72,17,5733,3417,0.634
6208,40,80,15,6632,4047,0.810
6209,45,85,19,7081,4609,0.915
6210,50,90,20,7868,5216,1.019
6211,55,100,21,9757,6609,1.335
6212,60,110,22,11780,8138,1.723
6213,65,120,23,12859,9015,2.178
6214,70,125,24,13983,9914,2.354
6215,75,130,25,15152,10858,2.596
6216,80,140,26,16344,11915,3.080
6217,85,150,28,18884,13916,3.938
6218,90,160,30,21604,16074,4.730
6219,95,170,32,24504,18412,5.764
6220,100,180,34,27427,20930,6.908
6221,105,190,36,29899,23605,8.140
6222,110,200,38,32372,26303,9.592
6224,120,215,40,32822,27427,12.386
6226,130,230,40,37318,32822,13.728
6228,140,250,42,39566,37318,17.754
6230,150,270,45,39566,38217,22.660
