Size,Inner Dimension,Outer Dimension,Width,Dynamic(Cr),Static(Cor),Weight(lb)
6900,10,22,6,652,326,0.010
6901,12,24,6,967,506,0.011
6902,15,28,7,1034,573,0.017
6903,17,30,7,1428,832,0.018
6904,20,37,9,1574,1023,0.036
6905,25,42,9,1630,1124,0.041
6906,30,47,9,2450,1742,0.045
6907,35,55,10,3080,2237,0.073
6908,40,62,12,3170,2450,0.112
6909,45,68,12,3260,2630,0.132
6910,50,72,12,3732,3170,0.133
6911,55,80,13,4541,3889,0.185
6912,60,85,13,3912,3619,0.104
6913,65,90,13,5328,4766,0.211
6914,70,100,16,5485,5081,0.342
6915,75,105,16,5620,5395,0.363
6916,80,110,16,7171,6654,0.382
6917,85,120,18,7374,7104,0.535
6918,90,125,18,7576,7531,0.565
6919,95,130,18,10116,9419,0.705
6920,100,140,20,10454,10071,0.960
6921,105,145,20,10768,10746,1.000
6922,110,150,20,12859,12792,1.040
6924,120,165,22,15647,15737,1.410
6926,130,180,24,16029,16816,1.860
6928,140,190,24,20997,21199,1.980
6930,150,210,28,21000,326,3.050
