Size,Inner Dimension,Outer Dimension,Width,Dynamic(Cr),Static(Cor),Weight(lb)
5300,10,35,19.05,1450,1280,0.21
5301,12,37,19.05,1640,1400,.230
5302,15,42,19.05,1880,1560,.290
5303,17,47,22.22,2200,1940,.430
5304,20,52,22.22,2800,2350,.520
5305,25,62,25.40,8110,4360,.750
5306,30,72,30.16,10200,5720,1.13
5307,35,80,34.92,12700,7340,1.75
5308,40,90,36.51,15600,9170,2.31
5309,45,100,39.68,18700,11200,3.13
5310,50,110,44.45,23700,14600,4.25
5311,55,120,49.21,27400,17200,5.06
5312,60,130,53.97,31300,19900,6.96
5313,65,140,58.73,35500,22900,8.61
5314,70,150,63.5,39800,26000,10.8
5315,75,160,68.26,43600,29300,12.10
5316,80,170,68.26,47200,32800,15.0
