Size,Inner Dimension,Outer Dimension,Width,Dynamic(Cr),Static(Cor),Weight(lb)
6800,10,19,5,411,208,0.011
6801,12,21,5,432,234,0.0132
6802,15,24,5,468,286,0.0154
6803,17,26,5,632,387,0.0176
6804,20,32,7,899,555,0.0418
6805,25,37,7,967,663,0.0484
6806,30,42,7,1057,821,0.0572
6807,35,47,7,1102,910,0.0638
6808,40,52,7,1113,944,0.0726
6809,45,58,7,1394,1214,0.088
6810,50,65,7,1484,1371,0.1144
6811,55,72,9,1978,1821,0.1826
6812,60,78,10,2585,2383,0.2288
6813,65,85,10,2675,2585,0.2772
6814,70,90,10,2720,2675,0.2948
6815,75,95,10,2810,2900,0.3124
6816,80,100,10,2855,2990,0.33
6817,85,110,13,4204,4271,0.5852
6818,90,115,13,4271,4429,0.6138
6819,95,120,13,4339,4429,1.551
6820,100,125,13,4406,4766,0.6798
6821,105,130,13,4451,5373,0.7128
6822,110,140,16,6317,6902,1.3332
6824,120,150,16,6519,7419,1.441
6826,130,165,18,8295,9262,2.0658
6828,140,175,18,8588,9981,2.2
6830,150,190,20,10746,12342,3.08
