Size,Inner Dimension,Outer Dimension,Width OPEN,Width ZZ/2RS,Dynamic(Cr),Static(Cor),Weight(lb)
MR104,4,10,3,4,131.51,45.86,0.00209
MR105,5,10,3,4,96.67,37.77,0.00209
MR106,6,10,2.5,3,111.28,49.01,0.001232
MR117,7,11,2.5,3,102.29,45.19,0.001364
MR126,6,12,3,4,160.74,65.64,0.002794
MR128,8,12,2.5,3.5,122.52,61.82,0.001562
MR137,7,13,3,4,121.40,62.05,0.003476
MR148,8,14,3.5,4,184.34,86.55,0.004092
MR31,1,3,1.5,-,17.98,5.17,0.000088
MR41,1.2,4,1.8,2.5,31.02,7.87,0.00022
MR52,2,5,2,2.5,37.99,11.24,0.000352
MR62,2,6,2.5,2.5,74.19,22.03,0.00066
MR63,3,6,2,2.5,46.76,16.64,0.00044
MR72,2,7,2.5,3,86.55,28.55,0.00099
MR74,4,7,2,2.5,69.69,25.85,0.000484
MR82,2.5,8,2.5,3,125.89,40.24,0.001232
MR83,3,8,2.5,3,125.89,40.24,0.001188
MR84,4,8,2,3,88.80,31.25,0.000792
MR85,5,8,2,2.5,69.69,26.98,0.000572
MR93,3,9,2.5,4,128.14,42.04,0.001606
MR95,5,9,2.5,3,96.67,37.77,0.0011
