Size,C.S. Inch,I.D. Inch,O.D. Inch,C.S. MM,I.D. MM,O.D. MM,Size  
309,0.210,0.412,0.832,5.33,10.46,21.12,  
310,0.210,0.475,0.895,5.33,12.07,22.73,  
311,0.210,0.537,0.957,5.33,13.64,24.30,  
312,0.210,0.600,1.020,5.33,15.24,25.90,  
313,0.210,0.662,1.082,5.33,16.81,27.47,  
314,0.210,0.725,1.145,5.33,18.42,29.08,  
315,0.210,0.787,1.207,5.33,19.99,30.65,  
316,0.210,0.850,1.270,5.33,21.59,32.25,  
317,0.210,0.912,1.332,5.33,23.16,33.82,  
318,0.210,0.975,1.395,5.33,24.77,35.43,  
319,0.210,1.037,1.457,5.33,26.34,37.00,  
320,0.210,1.100,1.520,5.33,27.94,38.60,
