Size,C.S. Inch,I.D. Inch,O.D. Inch,C.S. MM,I.D. MM,O.D. MM
231,0.139,2.609,2.887,3.53,66.27,73.33
232,0.139,2.734,3.012,3.53,69.44,76.50
233,0.139,2.859,3.137,3.53,72.62,79.68
234,0.139,2.984,3.262,3.53,75.79,82.85
235,0.139,3.109,3.387,3.53,78.97,86.03
236,0.139,3.234,3.512,3.53,82.14,89.20
237,0.139,3.359,3.637,3.53,85.32,92.38
238,0.139,3.484,3.762,3.53,88.49,95.55
239,0.139,3.609,3.887,3.53,91.67,98.73
240,0.139,3.734,4.012,3.53,94.84,101.90
241,0.139,3.859,4.137,3.53,98.02,105.08
242,0.139,3.984,4.262,3.53,101.19,108.25
243,0.139,4.109,4.387,3.53,104.37,111.43
244,0.139,4.234,4.512,3.53,107.54,114.60
245,0.139,4.359,4.637,3.53,110.72,117.78
246,0.139,4.484,4.762,3.53,113.89,120.95
247,0.139,4.609,4.887,3.53,117.07,124.13
248,0.139,4.734,5.012,3.53,120.24,127.30
249,0.139,4.859,5.137,3.53,123.42,130.48
250,0.139,4.984,5.262,3.53,126.59,133.65
251,0.139,5.109,5.387,3.53,129.77,136.83
252,0.139,5.234,5.512,3.53,132.94,140.00
253,0.139,5.359,5.637,3.53,136.12,143.18
254,0.139,5.484,5.762,3.53,139.29,146.35
255,0.139,5.609,5.887,3.53,142.47,149.53
256,0.139,5.734,6.012,3.53,145.64,152.71
257,0.139,5.859,6.137,3.53,148.82,155.88
258,0.139,5.984,6.262,3.53,151.99,159.05
259,0.139,6.234,6.512,3.53,158.34,165.40
260,0.139,6.484,6.762,3.53,164.69,171.75
