Size,C.S.Inch,I.D.Inch,O.D.Inch,C.S.MM,I.D.MM,O.D.MM
201,0.139,0.171,0.449,3.53,4.34,11.40
202,0.139,0.234,0.512,3.53,5.94,13.00
203,0.139,0.296,0.574,3.53,7.52,14.58
204,0.139,0.359,0.637,3.53,9.12,16.18
205,0.139,0.421,0.699,3.53,10.69,17.75
206,0.139,0.484,0.762,3.53,12.29,19.35
207,0.139,0.546,0.824,3.53,13.87,20.93
208,0.139,0.609,0.887,3.53,15.47,22.53
209,0.139,0.671,0.949,3.53,17.04,24.10
210,0.139,0.734,1.012,3.53,18.64,25.70
211,0.139,0.796,1.074,3.53,20.22,27.28
212,0.139,0.859,1.137,3.53,21.82,28.88
213,0.139,0.921,1.199,3.53,23.39,30.45
214,0.139,0.984,1.262,3.53,24.99,32.06
215,0.139,1.046,1.324,3.53,26.57,33.63
216,0.139,1.109,1.387,3.53,28.17,35.23
217,0.139,1.171,1.449,3.53,29.74,36.80
218,0.139,1.234,1.512,3.53,31.34,38.40
219,0.139,1.296,1.574,3.53,32.92,39.98
220,0.139,1.359,1.637,3.53,34.52,41.58
221,0.139,1.421,1.699,3.53,36.09,43.15
222,0.139,1.484,1.762,3.53,37.69,44.75
223,0.139,1.609,1.887,3.53,40.87,47.93
224,0.139,1.734,2.012,3.53,44.04,51.10
225,0.139,1.859,2.137,3.53,47.22,54.28
226,0.139,1.984,2.262,3.53,50.39,57.45
227,0.139,2.109,2.387,3.53,53.57,60.63
228,0.139,2.234,2.512,3.53,56.74,63.80
229,0.139,2.359,2.637,3.53,59.92,66.98
230,0.139,2.484,2.762,3.53,63.09,70.15
