Size, C.S. Inch, I.D. Inch, O.D. Inch, C.S. MM, I.D. MM, O.D. MM  
901, 0.056, 0.185, 0.297, 1.42, 4.70, 7.54  
902, 0.064, 0.239, 0.367, 1.63, 6.07, 9.33  
903, 0.064, 0.301, 0.429, 1.63, 7.65, 10.91  
904, 0.072, 0.351, 0.495, 1.83, 8.92, 12.58  
905, 0.072, 0.414, 0.558, 1.83, 10.52, 14.18  
906, 0.078, 0.468, 0.624, 1.98, 11.89, 15.85  
907, 0.082, 0.530, 0.694, 2.08, 13.46, 17.62  
908, 0.087, 0.644, 0.818, 2.21, 16.36, 20.78  
909, 0.097, 0.706, 0.900, 2.46, 17.93, 22.85  
910, 0.097, 0.755, 0.949, 2.46, 19.18, 24.10  
911, 0.116, 0.863, 1.095, 2.95, 21.92, 27.82  
912, 0.116, 0.924, 1.156, 2.95, 23.47, 29.37  
913, 0.116, 0.986, 1.218, 2.95, 25.04, 30.94  
914, 0.116, 1.047, 1.279, 2.95, 26.59, 32.49
