Size,C.S. Inch,I.D. Inch,O.D. Inch,C.S. MM,I.D. MM,O.D. MM
446,0.275,8.475,9.025,6.99,215.27,229.25
447,0.275,8.975,9.525,6.99,227.97,241.95
448,0.275,9.475,10.025,6.99,240.67,254.65
449,0.275,9.975,10.525,6.99,253.37,267.35
450,0.275,10.475,11.025,6.99,266.07,280.05
451,0.275,10.975,11.525,6.99,278.77,292.75
452,0.275,11.475,12.025,6.99,291.47,305.45
453,0.275,11.975,12.525,6.99,304.17,318.15
454,0.275,12.475,13.025,6.99,316.87,330.85
455,0.275,12.975,13.525,6.99,329.57,343.55
456,0.275,13.457,14.007,6.99,342.27,356.25
457,0.275,13.975,14.525,6.99,354.97,368.95
458,0.275,14.475,15.025,6.99,367.67,381.65
459,0.275,14.975,15.525,6.99,380.37,394.35
460,0.275,15.475,16.025,6.99,393.07,407.05
461,0.275,15.955,16.505,6.99,405.26,419.24
462,0.275,16.455,17.005,6.99,417.96,431.94
463,0.275,16.955,17.505,6.99,430.66,444.64
464,0.275,17.455,18.005,6.99,443.36,457.34
465,0.275,17.955,18.505,6.99,456.06,470.04
466,0.275,18.455,19.005,6.99,468.76,482.74
467,0.275,18.955,19.505,6.99,481.46,495.44
468,0.275,19.455,20.005,6.99,494.16,508.14
469,0.275,19.955,20.505,6.99,506.86,520.84
470,0.275,20.955,21.505,6.99,532.26,546.24
