Size,C.S. Inch,I.D. Inch,O.D. Inch,C.S. MM,I.D. MM,O.D. MM
400,0.275,1.350,1.900,6.99,34.29,48.26
401,0.275,1.475,2.025,6.99,37.47,51.44
402,0.275,1.600,2.150,6.99,40.64,54.61
403,0.275,1.725,2.275,6.99,43.82,57.79
404,0.275,1.850,2.400,6.99,46.99,60.96
405,0.275,1.975,2.525,6.99,50.17,64.14
406,0.275,2.100,2.650,6.99,53.34,67.31
407,0.275,2.225,2.775,6.99,56.52,70.49
408,0.275,2.350,2.900,6.99,59.69,73.66
409,0.275,2.475,3.025,6.99,62.87,76.84
410,0.275,2.600,3.150,6.99,66.04,80.01
411,0.275,2.725,3.275,6.99,69.22,83.19
412,0.275,2.850,3.400,6.99,72.39,86.36
413,0.275,2.975,3.525,6.99,75.57,89.54
414,0.275,3.100,3.650,6.99,78.74,92.71
415,0.275,3.225,3.775,6.99,81.92,95.89
