Size,C.S. Inch,I.D. Inch,O.D. Inch,C.S. MM,I.D. MM,O.D. MM
416,0.275,3.350,3.900,6.99,85.09,99.06
417,0.275,3.475,4.025,6.99,88.27,102.24
418,0.275,3.600,4.150,6.99,91.44,105.41
419,0.275,3.725,4.275,6.99,94.62,108.59
420,0.275,3.850,4.400,6.99,97.79,111.76
421,0.275,3.975,4.525,6.99,100.97,114.94
422,0.275,4.100,4.650,6.99,104.14,118.11
423,0.275,4.225,4.775,6.99,107.32,121.29
424,0.275,4.350,4.900,6.99,110.49,124.46
425,0.275,4.475,5.025,6.99,113.67,127.65
426,0.275,4.600,5.150,6.99,116.84,130.82
427,0.275,4.725,5.275,6.99,120.02,134.00
428,0.275,4.850,5.400,6.99,123.19,137.17
429,0.275,4.975,5.525,6.99,126.37,140.35
430,0.275,5.100,5.650,6.99,129.54,143.52
