Size,C.S. Inch,I.D. Inch,O.D. Inch,C.S. MM,I.D. MM,O.D. MM
102,0.103,0.049,0.255,2.62,1.24,6.48
103,0.103,0.081,0.287,2.62,2.06,7.30
104,0.103,0.112,0.318,2.62,2.84,8.08
105,0.103,0.143,0.349,2.62,3.63,8.87
106,0.103,0.174,0.380,2.62,4.42,9.66
107,0.103,0.206,0.412,2.62,5.23,10.47
108,0.103,0.237,0.443,2.62,6.02,11.26
109,0.103,0.299,0.505,2.62,7.59,12.83
110,0.103,0.362,0.568,2.62,9.19,14.43
111,0.103,0.424,0.630,2.62,10.77,16.01
112,0.103,0.487,0.693,2.62,12.37,17.61
113,0.103,0.549,0.755,2.62,13.94,19.18
114,0.103,0.612,0.818,2.62,15.54,20.78
115,0.103,0.674,0.880,2.62,17.12,22.36
116,0.103,0.737,0.943,2.62,18.72,23.96
117,0.103,0.799,1.005,2.62,20.29,25.54
118,0.103,0.862,1.068,2.62,21.89,27.13
119,0.103,0.924,1.130,2.62,23.47,28.71
120,0.103,0.987,1.193,2.62,25.07,30.31
121,0.103,1.049,1.255,2.62,26.64,31.88
122,0.103,1.112,1.318,2.62,28.24,33.48
123,0.103,1.174,1.380,2.62,29.82,35.06
124,0.103,1.237,1.443,2.62,31.42,36.66
125,0.103,1.299,1.505,2.62,32.99,38.23
126,0.103,1.362,1.568,2.62,34.59,39.83
127,0.103,1.424,1.630,2.62,36.17,41.41
128,0.103,1.487,1.693,2.62,37.77,43.01
129,0.103,1.549,1.755,2.62,39.34,44.58
130,0.103,1.612,1.818,2.62,40.94,46.18
