Size, C.S. Inch, I.D. Inch, O.D. Inch, C.S. MM, I.D. MM, O.D. MM
261, 0.139, 6.734, 7.012, 3.53, 171.04, 178.10
262, 0.139, 6.984, 7.262, 3.53, 177.39, 184.45
263, 0.139, 7.234, 7.512, 3.53, 183.74, 190.80
264, 0.139, 7.484, 7.762, 3.53, 190.09, 197.15
265, 0.139, 7.734, 8.012, 3.53, 196.44, 203.50
266, 0.139, 7.984, 8.262, 3.53, 202.79, 209.85
267, 0.139, 8.234, 8.512, 3.53, 209.14, 216.20
268, 0.139, 8.484, 8.762, 3.53, 215.49, 222.55
269, 0.139, 8.734, 9.012, 3.53, 221.84, 228.90
270, 0.139, 8.984, 9.262, 3.53, 228.19, 235.25
271, 0.139, 9.234, 9.512, 3.53, 234.54, 241.60
272, 0.139, 9.484, 9.762, 3.53, 240.89, 247.95
273, 0.139, 9.734, 10.012, 3.53, 247.24, 254.30
274, 0.139, 9.984, 10.262, 3.53, 253.59, 260.65
275, 0.139, 10.484, 10.762, 3.53, 266.29, 273.35
276, 0.139, 10.984, 11.262, 3.53, 278.99, 286.05
277, 0.139, 11.484, 11.762, 3.53, 291.69, 298.75
278, 0.139, 11.984, 12.262, 3.53, 304.39, 311.45
279, 0.139, 12.984, 13.262, 3.53, 329.79, 336.85
280, 0.139, 13.984, 14.262, 3.53, 355.19, 362.25
281, 0.139, 14.984, 15.262, 3.53, 380.59, 387.65
282, 0.139, 15.955, 16.233, 3.53, 405.26, 412.32
283, 0.139, 16.955, 17.233, 3.53, 430.66, 437.72
284, 0.139, 17.955, 18.233, 3.53, 456.06, 463.12
