Size,C.S. Inch,I.D. Inch,O.D. Inch,C.S. MM,I.D. MM,O.D. MM
371,0.210,8.475,8.895,5.33,215.27,225.93
372,0.210,8.725,9.145,5.33,221.62,232.28
373,0.210,8.975,9.395,5.33,227.97,238.63
374,0.210,9.225,9.645,5.33,234.32,244.98
375,0.210,9.475,9.895,5.33,240.67,251.33
376,0.210,9.725,10.145,5.33,247.02,257.68
377,0.210,9.975,10.395,5.33,253.37,264.03
378,0.210,10.475,10.895,5.33,266.07,276.73
379,0.210,10.975,11.395,5.33,278.77,289.43
380,0.210,11.475,11.895,5.33,291.47,302.13
381,0.210,11.975,12.395,5.33,304.17,314.83
382,0.210,12.975,13.395,5.33,329.57,340.23
383,0.210,13.975,14.395,5.33,354.97,365.63
384,0.210,14.975,15.395,5.33,380.37,391.03
385,0.210,15.955,16.375,5.33,405.26,415.92
386,0.210,16.955,17.375,5.33,430.66,441.32
387,0.210,17.955,18.375,5.33,456.06,466.72
388,0.210,18.955,19.375,5.33,481.46,492.07
389,0.210,19.955,20.375,5.33,506.86,517.47
390,0.210,20.955,21.375,5.33,532.26,542.87
391,0.210,21.955,22.375,5.33,557.66,568.27
392,0.210,22.940,23.360,5.33,582.68,593.34
393,0.210,23.940,24.360,5.33,608.08,618.74
394,0.210,24.940,25.360,5.33,633.48,644.14
395,0.210,25.940,26.360,5.33,658.88,669.54
