Size,C.S. Inch,I.D. Inch,O.D. Inch,C.S. MM,I.D. MM,O.D. MM
321,0.210,1.162,1.582,5.33,29.51,40.17
322,0.210,1.225,1.645,5.33,31.12,41.78
323,0.210,1.287,1.707,5.33,32.69,43.35
324,0.210,1.350,1.770,5.33,34.29,44.95
325,0.210,1.475,1.895,5.33,37.47,48.13
326,0.210,1.600,2.020,5.33,40.64,51.30
327,0.210,1.725,2.145,5.33,43.82,54.48
328,0.210,1.850,2.270,5.33,46.99,57.65
329,0.210,1.975,2.395,5.33,50.17,60.83
330,0.210,2.100,2.520,5.33,53.34,64.00
331,0.210,2.225,2.645,5.33,56.52,67.18
332,0.210,2.350,2.770,5.33,59.69,70.35
333,0.210,2.475,2.895,5.33,62.87,73.53
334,0.210,2.600,3.020,5.33,66.04,76.70
335,0.210,2.725,3.145,5.33,69.22,79.88
336,0.210,2.850,3.270,5.33,72.39,83.05
337,0.210,2.975,3.395,5.33,75.57,86.23
338,0.210,3.100,3.520,5.33,78.74,89.40
339,0.210,3.225,3.645,5.33,81.92,102.58
340,0.210,3.350,3.770,5.33,85.09,95.75
